W,D,H_pbar,C,kappa,score,group,n,true_noise_rate
2.6107006277687357,3.296859878267249,5.907560506035985,0.9886045674432331,0.31799445777623214,1.3029753408224505,Allegro > Sports and Travel > Gym and Fitness,1961,0.239673635900051
2.762885141310408,2.9315320405299343,5.694417181840342,0.9978906015858966,0.3416329272113393,1.3388028888423709,Allegro > Sports and Travel > Martial Arts,307,0.17263843648208468
2.7318625790122053,2.7729167092411173,5.504779288253323,0.9939858493967227,0.3640460376572713,1.3558424593569969,Allegro > Sports and Travel > Military,699,0.12589413447782546
2.205077403353579,2.9746490950156605,5.17972649836924,0.9960704241406824,0.40138978863617747,1.3958829211532584,Allegro > Sports and Travel > Other Sports and Leisure,462,0.35714285714285715
3.045567144443966,2.503717742944565,5.549284887388531,0.996576542525659,0.3585521477316611,1.353901202227227,Allegro > Sports and Travel > Running,221,0.07239819004524888
1.0271159449267153,2.0465499472643147,3.07366589219103,0.9998711137200071,0.6445429309785551,1.6443309719578927,"Allegro > Sports and Travel > Skating, Slackline",178,0.08426966292134831
0.8524135851709491,1.692818852939922,2.545232438110871,0.9994473245268065,0.7057111477197164,1.704768443004019,Allegro > Sports and Travel > Sports Electronics,348,0.5201149425287356
3.103265387197164,3.1188219004978524,6.222087287695016,0.992530234885593,0.28114530934013104,1.271575454801936,Allegro > Sports and Travel > Team Sports,976,0.05430327868852459
3.1158179366531207,1.4680368124281569,4.5838547490812775,0.9992399102719767,0.469949799838848,1.4688325060952805,Allegro > Sports and Travel > Tennis and Racquet Sports,84,0.023809523809523808
2.0381629639565597,3.2548266346508212,5.292989598607381,0.9743390083666142,0.3911092930833856,1.3554120491524477,Allegro > Sports and Travel > Travel,2625,0.1660952380952381
2.146577922580004,2.7077829629755987,4.854360885555603,0.9889783212461605,0.43974358021914806,1.4238751889900698,Allegro > Sports and Travel > Water Sports,486,0.27983539094650206
2.459950571277293,2.425217347563672,4.885167918840965,0.9917497384377335,0.43594401728736887,1.4240971035559764,Allegro > Sports and Travel > Winter Sports,424,0.09905660377358491
1.8645921917201114,3.755738376227678,5.620330567947789,0.9689348791285711,0.35463587721294787,1.3125539499505536,Allegro > Supermarket > Groceries,5160,0.289922480620155
1.0215681868299205,2.4681056828215677,3.4896738696514884,0.9882124912222354,0.598149701282747,1.5793114976506948,Allegro > Supermarket > Household Essentials,1988,0.21026156941649898
1.6173232970414047,3.20734802920039,4.824671326241795,0.984594286377085,0.4444994927323974,1.4222459472189162,Allegro > Supermarket > Pet Supplies,5682,0.16948257655755017
