kind,rho,mean_s,max_s,p90_s,C,kappa,C_kappa,GUARD
diffuse,0.2009543327879935,0.49530590785655687,0.9990819580940634,0.9880538228472433,0.30756869648028495,0.019675299264727886,0.006051506147711865,0.31362020262799684
structured,0.37276192521109,0.6062783757961955,0.9998859522607287,0.9937173365089426,0.4015147881580102,0.19052354663282456,0.07649802146539134,0.47801280962340154
diffuse,0.37276192521109,0.6102287087696574,0.9993752797607014,0.9940870097550886,0.40512718970520956,0.021646744638083915,0.00876968482149325,0.4138968745267028
structured,0.45053070419257085,0.6449494546747545,0.9994163290781916,0.995543813085275,0.4378033977251323,0.2502399448085122,0.10955589808371623,0.5473592958088486
diffuse,0.45053070419257085,0.6559499353569742,0.999609997635269,0.9962151570592643,0.44852315878856264,0.020688763627254247,0.009279389613525996,0.4578025484020886
structured,0.27982517360338244,0.5429147898515618,0.9994153600715039,0.9934350823626307,0.34620839450928376,0.15871373923046783,0.054948028845545394,0.40115642335482915
diffuse,0.27982517360338244,0.5534643067231584,0.9991824897510907,0.993382122313901,0.35509157909583755,0.02023390337752573,0.007184888701598212,0.3622764677974358
structured,0.3498460250909052,0.5945689626680495,0.9989957963314331,0.9937401053607641,0.39092658320119544,0.1715972136185403,0.0670819124067416,0.45800849560793705
diffuse,0.3498460250909052,0.5802249062288252,0.999535853921049,0.9932389982538474,0.37819195752769164,0.02510573785075676,0.009494788142954761,0.38768674567064637
structured,0.3698267258980157,0.6133364622889943,0.9995656866277525,0.9955814782834095,0.4079836818891945,0.1979056053731425,0.08074225754664463,0.4887259394358391
diffuse,0.3698267258980157,0.5881283933079553,0.999848569663547,0.9938812913712577,0.3851771322729367,0.021133023179392474,0.008139957264495892,0.3933170895374326
structured,0.31884633332522705,0.5755891145156489,0.9994737788065915,0.9931731304852298,0.3741301008374285,0.1737192639427404,0.06499360573630132,0.4391237065737298
diffuse,0.31884633332522705,0.569877083473661,0.9998930512409566,0.9950788736590902,0.36916047542839037,0.02062000833758737,0.007612092081241127,0.3767725675096315
structured,0.3408052364503888,0.592416255884599,0.9996299729238693,0.9953657938530039,0.3889990870141151,0.17826417668609473,0.06934460197821375,0.45834368899232886
diffuse,0.3408052364503888,0.5887130176517192,0.9992761844301298,0.9942822572771984,0.385696883184104,0.023261768818260586,0.008971991730552286,0.3946688749146563
structured,0.4838340263032226,0.6572644988888218,0.9992327950425056,0.9947511562729737,0.44981665669695026,0.23267401320831926,0.10466064672162821,0.5544773034185785
diffuse,0.4838340263032226,0.6741112847076903,0.9993821880920395,0.9958126872303992,0.4666379343554662,0.02132917444626503,0.009953001905112509,0.4765909362605787
structured,0.34569242092399916,0.5966616049774217,0.9993787786158901,0.9946354815483512,0.3928059217482631,0.17720532672620803,0.06960730170339027,0.46241322345165337
diffuse,0.34569242092399916,0.5835961244197313,0.9998340034180623,0.993295456161785,0.38116211618000534,0.019100157929081374,0.0072802566156209645,0.3884423727956263
structured,0.3225772939976348,0.5731699830467759,0.998966567397876,0.993703353213736,0.3720206758600592,0.19084543383964248,0.07099844728183001,0.44301912314188924
diffuse,0.3225772939976348,0.5635559028087431,0.9994095663190291,0.9951116164684872,0.36370544694098694,0.022022914711848807,0.008009854038216207,0.37171530097920313
structured,0.2211052019827176,0.5130517843799345,0.998710619656833,0.9865204020472991,0.3217043031885834,0.11092031967848326,0.03568354415162137,0.3573878473402048
diffuse,0.2211052019827176,0.5069827534122897,0.9993663324445329,0.9874726657260355,0.3168354199792829,0.021690293165506858,0.006872253144567134,0.32370767312385
structured,0.38304344849051974,0.6189955333492081,0.9997859428620246,0.995271066203562,0.4132186863059408,0.193509723660381,0.07996183379836826,0.493180520104309
diffuse,0.38304344849051974,0.6267372591823258,0.9994852306323725,0.9940715618438594,0.42045156534387923,0.02149549044468313,0.009037812605301421,0.42948937794918063
structured,0.328949096130274,0.5835512339988156,0.9994702682372395,0.9931800481971735,0.38112247519480225,0.16386145144487085,0.06245128196368208,0.44357375715848435
diffuse,0.328949096130274,0.5760716032570155,0.9996381059062414,0.9940050419050952,0.37455165312933414,0.02085762645462219,0.007812258468932874,0.382363911598267
structured,0.20176700999524094,0.4990550202903871,0.9995428140361363,0.9906149313595594,0.31052967450237434,0.1190398034086747,0.03696539140532239,0.34749506590769674
