group,n,true_noise,mean_1mp,p90_1mp,mean_ent,C_full,C_proj,out_mass,Cproj_kappa
Allegro > Sports and Travel > Gym and Fitness > Supplements and Nutrients,487,0.4024640657084189,0.809823751449585,0.9980453252792358,4.019376277923584,0.524054567268762,0.09804683210967816,0.6856625946640235,0.07700975349870007
Allegro > Sports and Travel > Fishing > Lures,484,0.008264462809917356,0.47119882702827454,0.996548056602478,2.901637554168701,0.30042770959317977,0.03833585687133875,0.45348101349408965,0.03833585686941039
Allegro > Home and Garden > Construction Work and Equipment > Fireplaces and Accessories,480,0.052083333333333336,0.540524423122406,0.9996464848518372,3.3848440647125244,0.42430408840168377,0.1575640323359459,0.5259657264997561,0.15756403231667346
Allegro > Home and Garden > Furniture > Workshop,475,0.26526315789473687,0.621701180934906,0.9868270754814148,2.3742942810058594,0.36225456287955504,0.040810381636918865,0.5334273350866218,0.02905994216091276
"Allegro > Electronics > Audio, Video and Household Appliances > Power Supply",472,0.15889830508474576,0.6372213959693909,0.9860221743583679,3.072593927383423,0.3682393389788968,0.04645502964172152,0.5356856494889422,0.036465427968323104
Allegro > Automotive > Car Equipment and Accessories > Automotive Electronics,470,0.03829787234042553,0.9051336646080017,0.999402642250061,4.334136009216309,0.7241190137251735,0.03638176888863337,0.8745254307351213,0.029766541215147452
Allegro > Culture and Entertainment > Books and Comics > Foreign Language Learning,466,0.03982300884955752,0.8918242454528809,0.9995887279510498,3.655862808227539,0.5623089199304664,0.04375870307855664,0.7473707610957101,0.030734902896564387
Allegro > Culture and Entertainment > Games > Console Games,464,0.2478448275862069,0.8629554510116577,0.9997475743293762,4.7354021072387695,0.4154355190647982,0.08882341121513598,0.5637231920042942,0.05763420099563253
Allegro > Home and Garden > Construction Work and Equipment > Air Conditioning and Ventilation,459,0.19607843137254902,0.69746333360672,0.9988983273506165,3.7693068981170654,0.4840823786301115,0.08710701861595993,0.6483550562578089,0.06077807983033678
Allegro > Sports and Travel > Travel > Backpacks,454,0.07488986784140969,0.6474561095237732,0.9974296689033508,1.8355357646942139,0.3933355564411981,0.03174839002139314,0.5784791315442139,0.031748390019212896
Allegro > Beauty > Make-up > Face,451,0.017738359201773836,0.5793337821960449,0.9976081848144531,2.9568893909454346,0.4120376909261152,0.12513939818133216,0.5326412690188034,0.08681270098870499
Allegro > Culture and Entertainment > Books and Comics > Cookbooks,448,0.26785714285714285,0.9222733378410339,0.999131977558136,3.82147479057312,0.6551029958981154,0.027098197595548476,0.8281312325437155,0.027098197593459047
Allegro > Business and Services > Office and advertising > Office supplies,440,0.1431818181818182,0.8981297016143799,0.9996739029884338,5.021810054779053,0.7560561264907788,0.14784836651328945,0.8823460791598666,0.07813377135665954
"Allegro > Culture and Entertainment > Books and Comics > IT, Internet",434,0.5460829493087558,0.7753782272338867,0.9993716478347778,3.4427506923675537,0.5289799413166043,0.03405824130898632,0.7205447367808786,0.03003239723465824
Allegro > Business and Services > Office and advertising > Packing and shipping,430,0.24186046511627907,0.7654713988304138,0.9995927214622498,4.390116214752197,0.5642490753546969,0.15257663411123684,0.7053911096827928,0.1109461982355546
